"name","lat","lon","points_extract"
"aspera",15.26666,-83.76666,8
"aspera",2.416667,-60.18,135
"aspera",2.42,-60.18,135
"aspera",0.424722,-60.187222,123
"aspera",3.41,-65.66,1619
"aspera",2.467,-60.208,131
"aspera",3.61,-52.31,137
"aspera",-9.622332,-64.940057,92
"aspera",0.733333,-51.366667,81
"aspera",14.61666,-83.91666,114
"aspera",14.55,-84,113
"aspera",14.54166,-83.99166,114
"aspera",14.71666,-84.03333,45
"aspera",3.33,-56.82,236
"aspera",3.33,-56.81,236
"aspera",3.433,-56.625,246
"aspera",3.33333,-56.81667,236
"aspera",3.33333,-56.43333,381
"aspera",3.16666,-56.48333,294
"aspera",0.333333,-56.816667,214
"aspera",3.1,-56.46,244
"aspera",3.642,-56.533,619
"aspera",3.25,-56.65,256
"aspera",3.6,-56.5,393
"aspera",3.33333,-56.81667,236
"aspera",0.28,-51.08,26
"aspera",5.33,-54.83,42
"aspera",14.73333,-83.97083,47
"aspera",0.73,-51.37,81
"aspera",-0.03,-51.08,12
"aspera",0.6,-51.316667,57
"aspera",-2,-51.08,31
"aspera",3.854254,-51.797206,24
"aspera",-0.033333,-51.083333,12
"aspera",3.38,-59.78,88
"aspera",-2.93778648539846,-44.2352209866645,10
"aspera",4.98,-60.61,1293
"aspera",4.983333,-60.616667,1293
"aspera",4.41,-65.83,223
"aspera",-1.03515,-48.125749,24
"aspera",-0.8583,-48.1417,11
"aspera",4.61,-61.13,1011
"aspera",5.31,-55.26,42
"aspera",5.25,-55.33,44
"aspera",3.16,-65.55,133
"aspera",5.1,-60.73,1355
"aspera",3.75,-59.3,89
"aspera",-0.861616883887081,-48.142168432841,11
"aspera",4.93,-52.33,9
"aspera",4.93,-52.33,9
"aspera",-0.5,-63.166667,30
"aspera",6.58,-58.13,15
"aspera",-0.533333,-52.85,417
"aspera",-1.583333,-55.533333,113
"aspera",5.28,-60.76,832
"aspera",4.93,-52.33,9
"aspera",-2.449614,-54.740486,33
"aspera",2.883333,-54.066667,189
"aspera",3.9289,-53.2335,173
"aspera",4.929,-52.3116,9
"aspera",4.79194,-58.97472,105
"aspera",8.30667,-73.61528,183
"aspera",4.93333,-52.33333,9
"aspera",-7.31306,-76.62556,425
"aspera",-5.64861,-52.53,276
"aspera",3.92472,-53.24111,173
"aspera",-10.8339,-52.8731,334
"aspera",7.0758,-65.9119,98
"aspera",4.1006,-55.625,125
"aspera",3.8558,-52.9708,159
"aspera",-9.1839,-74.14,193
"aspera",-16.7261,-64.435,215
"aspera",4.7364,-58.7017,66
"aspera",-0.435556,-49.0025,3
"aspera",5.26689,-53.05158,62
"aspera",2.72753,-72.2925,181
"aspera",4.9,-68.333336,108
"aspera",3.595833,-67.448333,91
"aspera",2.8025,-72.095,172
"aspera",6.37942,-71.93183,1037
"aspera",5.3,-68.01667,95
"aspera",6.088917,-67.710389,57
"aspera",2.776389,-72.177778,177
"aspera",6.069944,-67.753972,68
"aspera",2.666833,-72.179028,195
"aspera",4.55,-71.333336,165
"aspera",3.02875,-73.169333,217
"aspera",2.507778,-72.641944,208
"aspera",5.30556,-67.94333,80
"aspera",5.5,-70.475,109
"aspera",4.75,-70.45,121
"aspera",5.416667,-54.966667,26
"barbigera",-15.801111,-48.834722,1205
"barbigera",-12.9,-51.87,365
"bipenicillata",5.452425,-72.469261,849
"bipenicillata",4.969092,-72.822547,574
"bipenicillata",6.478967,-71.860544,697
"bipenicillata",6.26,-71.91,446
"bipenicillata",2.57,-72.71,191
"bipenicillata",6.379569,-71.908153,721
"bipenicillata",6.444764,-71.880039,931
"bipenicillata",4.398833,-73.043383,198
"bipenicillata",4.993278,-73.052111,1205
"bipenicillata",4.891667,-73.281667,1723
"bipenicillata",9.699611,-84.39525,371
"bipenicillata",9.892639,-84.483528,291
"bipenicillata",4.863333,-73.267778,1163
"bipenicillata",9.686422,-84.371972,397
"bipenicillata",9.686422,-84.37197,397
"bipenicillata",9.9,-84.272222,833
"bipenicillata",9.884722,-84.277778,833
"bipenicillata",9.883611,-84.4725,291
"bipenicillata",3.42,-74.11,966
"bipenicillata",9.898658,-84.242156,1066
"bipenicillata",4.853931,-73.284458,1163
"bipenicillata",9.96,-84.51,535
"bipenicillata",3.42,-74.11,966
"bipenicillata",3.428611,-74.115556,966
"bipenicillata",9.922222,-84.266667,732
"bipenicillata",7.833611,-71.705278,986
"bipenicillata",7.833611,-71.705278,986
"bipenicillata",7.8336,-71.7053,986
"bipenicillata",9.6842,-84.4394,351
